EAN;NAZWA;CENA_SPRZEDAZY;STAN;ROTACJA;COLI;MARKA
5903111989552;PIWO ANSTADT MIODOWE 0.5L;7.99;0;0;1;BROWAR STAROPOLSKI
5907222039632;PIWO MOCNY KOCHANEK 0.5L;9.99;0;0;1;ALEBROWAR
5907222039649;PIWO NOCNY KOCHANEK 0.5L;9.99;0;0;1;ALEBROWAR
5907222039076;PIWO SHAKE THE WORLD 0.5L;8.99;0;0;1;ALEBROWAR
5907222039175;PIWO SHALKE THE WORLD 0.5;8.99;0;0;1;ALEBROWAR
5905331025218;PIWO APETYT NA ZYCIE 0.5L;6.69;0;0;1;PINTA
5903031401516;LWÓWEK KSIAZECY;4.59;2;0;20;LWOWEK
5907222039403;PIWO SINGLE HOP IPA CENT. 0.5L;7.99;0;0;1;ALEBROWAR
5905669167239;PIWO BACCHUS WINE 0.3 L;15.99;0;0;1;OLIMP
5906395926114;PIWO BACH FRUIT BERLINER WEISS;7.99;0;0;1;EUREKA
5903292264226;PIWO BAFOMET RIS 0.33L;14.99;0;0;1;PERUN
2010000002162;PIWO BALWAN 0.5 L;7.99;0;0;5;ARTEZAN
5907222039335;PIWO SINGLE HOP IPA MOSAIC 0.5;7.99;0;0;1;ALEBROWAR
5904730290456;PIWO BEATNIK JUNIOE SESSION;8.99;0;0;5;KINGPIN
5902528221125;PIWO WITBIER 0.5L BT BZ;6.29;0;0;12;KORMORAN
5902528573354;PIWO KRZEPKIE 0.5L BT BZ;5.19;0;0;12;KORMORAN
5902528999994;PIWO WARMINSKIE 0.5L BT BZ;5.29;0;0;12;KORMORAN
5902528473449;PIWO CIEMNY 0.5L BT BZ;5.29;0;0;12;KORMORAN
5902528462337;PIWO JASNE 0.5L BT BZ;5.29;0;0;12;KORMORAN
5902528443251;PIWO AMERICAN 0.5L BT BZ;6.99;0;3;12;KORMORAN
5902528102523;PIWO KLOS WIELOZBOZ.0.5L BT BZ;5.99;0;0;20;KORMORAN
5901549250787;PIWO DAWNE 0.5L BT BZ;3.99;9;2.5;20;KONSTANCIN
5905912650112;PIWO JANKES BT ZW 0.5L;5.99;0;0;20;LWOWEK
5907222039083;ROWING JACK;8.99;0;0;1;ALEBROWAR
5903031401509;PIWO WROCLAWSKIE BT ZW 0.5L;4.29;0;0;20;LWOWEK
5903978108035;PIWO 2#8 BLACK APA 0.5 L;8.99;0;0;5;ALTERNATYWA
5905912650020;PIWO LAGEROWE BT ZW 0.5L;3.49;0;0;20;CIECHAN
5904730961158;PIWO IPA 0.5L BT BZ;7.59;0;0;20;KONSTANCIN
5905279533189;PAK GRODZISK 5X0.5L+KIEL.KART;26.99;0;0;1;GRODZISKIE
5904730961790;PIWO KONSTANCIN 0.5L 4-PAK+SZK;34.99;0;0;1;KONSTANCIN
5905279533240;PIWO Z GRODZ.WH.IPA 0.5L BT ZW;4.79;0;0;20;GRODZISKIE
5905279533233;PIWO Z GRODZISK APA 0.5L BT ZW;4.79;0;0;20;GRODZISKIE
5903978108424;PIWO 6#3 ZYTNI STOUT 0.5L;8.99;0;0;1;ALTERNATYWA
5905669683036;PIWO NO REASON0.5L BT BZ;7.99;0;0;10;INNE BECZKI
5905669683005;PIWO JUNGLE IPA 0.5L BT BZ;7.99;0;0;10;INNE BECZKI
5905669683012;PIWO ZISSOU APA 0.5L BT BZ;7.99;0;0;10;INNE BECZKI
5905669683111;PIWO KIWI KIWI KIWI 0.5L BT BZ;7.99;0;0;10;INNE BECZKI
5907431705083;PIWO METROPOLIS 0.5L BT BZ;7.99;0;0;10;RADUGA
5907431705090;PIWO AFRICAN QUEEN 0.5L BT BZ;7.99;0;0;10;RADUGA
5907431705052;PIWO SOM LIK IT HOT 0.5L BT BZ;7.99;0;0;10;RADUGA
5907431705182;PIWO LIFT TO T SCAF 0.5L BT BZ;8.49;0;0;10;RADUGA
5907431705359;PIWO TRAPEZE 0.5L BT BZ;7.99;0;0;10;RADUGA
5907431705267;PIWO APACHE 0.5L BT BZ;7.99;0;0;10;RADUGA
5907431705236;PIWO SAMURAI REBELL 0.5L BT BZ;7.99;0;0;10;RADUGA
5905669683258;PIWO CHERRY ELEPHANT BT BZ0.5L;7.99;0;0;10;INNE BECZKI
5906874378168;PIWO AMERICAN LAGER BT BZ 0.5L;5.99;0;0;10;WHYDUCK
5906874378045;PIWO WHYDUCK APA BT BZ 0.5L;5.99;0;0;10;WHYDUCK
5902020105534;PIWO POLSKI LAGER BBZ 0.5L;3.99;0;0;20;CHMIELOLOGIA
5902020105558;PIWO SESYJNE IPA BBZ 0.5L;5.99;0;2.25;20;CHMIELOLOGIA
5904730438575;PIWO PIERWSZA POMOC BBZ 0.5L;6.29;23;2;20;PINTA
5905331026093;PIWO BAWARKA BBZ 0.5L;6.99;0;0;20;PINTA
5904730438582;PIWO A JA PALE ALE BBZ 0.5L;8.29;15;1;20;PINTA
5904730663649;PIWO VERMONT IPA 0.5L BT BZ;6.99;25;0.25;20;RECRAFT
5904730663052;PIWO AMERICAN IPA BBZ 0.5L;5.99;7;0.5;20;RECRAFT
5902528885556;PIWO CHILL BEER 0.5L BT BZ;5.99;0;0;20;KORMORAN
5906874474815;PIWO ALTER. LEKKA PSZENICA 0.5;5.99;0;0;5;ALTERNATYWA
5902528334344;PIWO AMER.LAGER BRUT 0.5L BT B;4.99;0;0;20;KORMORAN
5902528110245;PIWO KORMORAN LEKKI 0.5L BT BZ;4.49;0;0;12;KORMORAN
5906874474709;PIWO APA Z TRAWA CYTRYNOWA0.5;6.99;0;0;1;ALTERNATYWA
5906874474785;PIWO BROWAR AIPA JEDYNKA 0.5L;8.99;0;0;1;ALTERNATYWA
5903292264356;PIWO BEHEMOTH LAGER 0.5L;5.99;0;0;1;PERUN
5903292264127;PIWO BEHEMOTH SACRUM IPA 0.5L;8.99;0;0;1;PERUN
5904730284400;PIWO BELGINA PALE ALE 0.5L BUT;6.99;0;0;20;BROWAR JAN OLBRACHT
5906395073030;PIWO APA 20 0.5L BT BZ;5.99;0;0;20;NIECHANOWO
5906395073047;PIWO JASNE PILSN 30 0.5L BT BZ;3.99;0;0;20;NIECHANOWO
5903292264431;PIWO BEHEMOTH WALPURGIA 0.5L;6.88;0;0;1;PERUN
5907222604120;PIWO APA 0.5L BT BZ;6.99;8;2.25;20;KONSTANCIN
5907222604489;PIWO SAISON 0.5L BT BZ;6.99;0;0;20;KONSTANCIN
5907222604595;PIWO WITBIER 0.5L BT BZ;6.99;38;0.5;20;KONSTANCIN
5901549250282;PIWO MIODOWY 0.33L BT ZW;2.49;0;0;20;GNIEWOSZ
5901549250299;PIWO KORZENNE 0.33L BT ZW;2.49;0;0;20;GNIEWOSZ
